week;region;unemployed;level;population;pass;pass_exist
2020-04-06 00:00:00;Адыгея;454;;463088;0;1
2020-04-06 00:00:00;Алтай;589;;220181;1;0
2020-04-06 00:00:00;Алтайский край;59;;2317153;1;0
2020-04-06 00:00:00;Амурская;1300;;790044;1;0
2020-04-06 00:00:00;Архангельская;1108;;1092424;0;1
2020-04-06 00:00:00;Астраханская;1793;;1005782;0;1
2020-04-06 00:00:00;Башкортостан;1419;;4038151;;1
2020-04-06 00:00:00;Белгородская;10279;;1549151;1;0
2020-04-06 00:00:00;Брянская;717;;1192491;0;1
2020-04-06 00:00:00;Бурятия;14527;;985937;1;0
2020-04-06 00:00:00;Владимирская;1233;;1358416;;1
2020-04-06 00:00:00;Волгоградская;1485;;2491036;1;0
2020-04-06 00:00:00;Вологодская;7364;;1160445;;2
2020-04-06 00:00:00;Воронежская;1623;;2324205;1;0
2020-04-06 00:00:00;Дагестан;3094;;3110858;0;1
2020-04-06 00:00:00;Еврейская АО;2164;;158305;0;1
2020-04-06 00:00:00;Забайкальский край;4942;;1059700;;1
2020-04-06 00:00:00;Ивановская;672;;997135;1;0
2020-04-06 00:00:00;Ингушетия;4157;;507061;1;0
2020-04-06 00:00:00;Иркутская;1142;;2391193;;2
2020-04-06 00:00:00;Кабардино-Балкария;2979;;868350;1;0
2020-04-06 00:00:00;Калининградская;1154;;1012512;;1
2020-04-06 00:00:00;Калмыкия;4087;;271135;0;1
2020-04-06 00:00:00;Калужская;9269;;1002575;1;0
2020-04-06 00:00:00;Камчатский край;2842;;313016;;2
2020-04-06 00:00:00;Карачаево-Черкессия;2116;;465528;1;0
2020-04-06 00:00:00;Карелия;536;;614064;1;0
2020-04-06 00:00:00;Кемеровская;42096;;2657854;1;0
2020-04-06 00:00:00;Кировская;877;;1262402;1;0
2020-04-06 00:00:00;Коми;4000;;820473;;1
2020-04-06 00:00:00;Костромская;808;;633385;1;0
2020-04-06 00:00:00;Краснодарский край;1164;;5675462;0;1
2020-04-06 00:00:00;Красноярский край;3806;;2866255;0;1
2020-04-06 00:00:00;Крым;1121;;1912622;1;0
2020-04-06 00:00:00;Курганская;2402;;827166;;1
2020-04-06 00:00:00;Курская;1470;;1104008;1;0
2020-04-06 00:00:00;Ленинградская;1615;;1875872;1;0
2020-04-06 00:00:00;Липецкая;426;;1139371;;1
2020-04-06 00:00:00;Магаданская;553;;140149;1;0
2020-04-06 00:00:00;Марий Эл;2602;;679417;1;0
2020-04-06 00:00:00;Мордовия;1300;;790197;1;0
2020-04-06 00:00:00;Московская;3231;;7690863;;1
2020-04-06 00:00:00;Мурманская;2755;;741404;1;0
2020-04-06 00:00:00;Нижегородская;2907;;3202946;0;1
2020-04-06 00:00:00;Новгородская;1222;;596508;1;0
2020-04-06 00:00:00;Новосибирская;1358;;2798170;1;0
2020-04-06 00:00:00;Омская;3677;;1926665;;1
2020-04-06 00:00:00;Оренбургская;2888;;1956835;1;0
2020-04-06 00:00:00;Орловская;1671;;733498;1;0
2020-04-06 00:00:00;Пензенская;677;;1305563;0;1
2020-04-06 00:00:00;Пермский край;2724;;2599260;;1
2020-04-06 00:00:00;Приморский край;7434;;1895868;;1
2020-04-06 00:00:00;Псковская;3015;;626115;1;0
2020-04-06 00:00:00;Ростовская;510;;4197821;1;0
2020-04-06 00:00:00;Рязанская;403;;1108847;;2
2020-04-06 00:00:00;Самарская;505;;3179532;1;0
2020-04-06 00:00:00;Санкт-Петербург;582;;5398064;1;0
2020-04-06 00:00:00;Саратовская;1559;;2421895;1;0
2020-04-06 00:00:00;Саха;2124;;971996;;3
2020-04-06 00:00:00;Сахалинская;1589;;488257;1;0
2020-04-06 00:00:00;Свердловская;3851;;4310681;1;0
2020-04-06 00:00:00;Севастополь;1172;;449138;;0
2020-04-06 00:00:00;Северная Осетия;1773;;696837;1;0
2020-04-06 00:00:00;Смоленская;2095;;934889;1;0
2020-04-06 00:00:00;Ставропольский край;876;;2803573;0;1
2020-04-06 00:00:00;Тамбовская;580;;1006748;;3
2020-04-06 00:00:00;Татарстан;146;;3902888;0;1
2020-04-06 00:00:00;Тверская;476;;1260379;1;0
2020-04-06 00:00:00;Томская;146;;1079271;1;0
2020-04-06 00:00:00;Тульская;616;;1466127;;2
2020-04-06 00:00:00;Тыва;135;;327383;1;0
2020-04-06 00:00:00;Тюменская;312;;1537416;1;0
2020-04-06 00:00:00;Удмуртия;902;;1500955;1;0
2020-04-06 00:00:00;Ульяновская;722;;1229824;0;1
2020-04-06 00:00:00;Хабаровский край;642;;1315643;1;0
2020-04-06 00:00:00;Хакасия;677;;534262;1;0
2020-04-06 00:00:00;ХМАО;653;;1674676;1;0
2020-04-06 00:00:00;Челябинская;2961;;3466369;1;0
2020-04-06 00:00:00;Чечня;609;;1478726;;1
2020-04-06 00:00:00;Чувашия;202;;1217818;;1
2020-04-06 00:00:00;Ямало-Ненецкий АО;1467;;544444;1;0
2020-04-06 00:00:00;Ярославская;0;;1253389;1;0
2020-04-13 00:00:00;Адыгея;158;;463088;0;1
2020-04-13 00:00:00;Алтай;12753;;220181;1;0
2020-04-13 00:00:00;Алтайский край;2199;;2317153;1;0
2020-04-13 00:00:00;Амурская;3572;;790044;1;0
2020-04-13 00:00:00;Архангельская;42;;1092424;0;1
2020-04-13 00:00:00;Астраханская;1563;;1005782;0;1
2020-04-13 00:00:00;Башкортостан;322;;4038151;;1
2020-04-13 00:00:00;Белгородская;1309;;1549151;1;0
2020-04-13 00:00:00;Брянская;2047;;1192491;0;1
2020-04-13 00:00:00;Бурятия;3902;;985937;1;0
2020-04-13 00:00:00;Владимирская;1107;;1358416;;1
2020-04-13 00:00:00;Волгоградская;1817;;2491036;1;0
2020-04-13 00:00:00;Вологодская;461;;1160445;;2
2020-04-13 00:00:00;Воронежская;710;;2324205;1;0
2020-04-13 00:00:00;Дагестан;3362;;3110858;0;1
2020-04-13 00:00:00;Еврейская АО;3714;;158305;0;1
2020-04-13 00:00:00;Забайкальский край;5646;;1059700;;1
2020-04-13 00:00:00;Ивановская;988;;997135;1;0
2020-04-13 00:00:00;Ингушетия;6089;;507061;1;0
2020-04-13 00:00:00;Иркутская;894;;2391193;;2
2020-04-13 00:00:00;Кабардино-Балкария;1139;;868350;1;0
2020-04-13 00:00:00;Калининградская;4390;;1012512;0;1
2020-04-13 00:00:00;Калмыкия;1819;;271135;0;1
2020-04-13 00:00:00;Калужская;476;;1002575;1;0
2020-04-13 00:00:00;Камчатский край;1837;;313016;;2
2020-04-13 00:00:00;Карачаево-Черкессия;3717;;465528;1;0
2020-04-13 00:00:00;Карелия;1058;;614064;1;0
2020-04-13 00:00:00;Кемеровская;1342;;2657854;1;0
2020-04-13 00:00:00;Кировская;3443;;1262402;1;0
2020-04-13 00:00:00;Коми;3276;;820473;;1
2020-04-13 00:00:00;Костромская;1909;;633385;1;0
2020-04-13 00:00:00;Краснодарский край;1044;;5675462;0;1
2020-04-13 00:00:00;Красноярский край;577;;2866255;0;1
2020-04-13 00:00:00;Крым;1860;;1912622;1;0
2020-04-13 00:00:00;Курганская;504;;827166;0;1
2020-04-13 00:00:00;Курская;1073;;1104008;1;0
2020-04-13 00:00:00;Ленинградская;432;;1875872;1;0
2020-04-13 00:00:00;Липецкая;5279;;1139371;0;1
2020-04-13 00:00:00;Магаданская;592;;140149;1;0
2020-04-13 00:00:00;Марий Эл;2999;;679417;1;0
2020-04-13 00:00:00;Мордовия;3065;;790197;1;0
2020-04-13 00:00:00;Московская;1007;;7690863;0;1
2020-04-13 00:00:00;Мурманская;1116;;741404;1;0
2020-04-13 00:00:00;Нижегородская;2276;;3202946;0;1
2020-04-13 00:00:00;Новгородская;3582;;596508;1;0
2020-04-13 00:00:00;Новосибирская;252;;2798170;1;0
2020-04-13 00:00:00;Омская;943;;1926665;;1
2020-04-13 00:00:00;Оренбургская;1961;;1956835;1;0
2020-04-13 00:00:00;Орловская;3750;;733498;1;0
2020-04-13 00:00:00;Пензенская;1135;;1305563;0;1
2020-04-13 00:00:00;Пермский край;682;;2599260;0;1
2020-04-13 00:00:00;Приморский край;150;;1895868;0;1
2020-04-13 00:00:00;Псковская;2289;;626115;1;0
2020-04-13 00:00:00;Ростовская;1244;;4197821;1;0
2020-04-13 00:00:00;Рязанская;146;;1108847;;2
2020-04-13 00:00:00;Самарская;1317;;3179532;1;0
2020-04-13 00:00:00;Санкт-Петербург;540;;5398064;1;0
2020-04-13 00:00:00;Саратовская;839;;2421895;1;0
2020-04-13 00:00:00;Саха;271;;971996;;3
2020-04-13 00:00:00;Сахалинская;3719;;488257;1;0
2020-04-13 00:00:00;Свердловская;444;;4310681;1;0
2020-04-13 00:00:00;Севастополь;837;;449138;0;0
2020-04-13 00:00:00;Северная Осетия;1239;;696837;1;0
2020-04-13 00:00:00;Смоленская;819;;934889;1;0
2020-04-13 00:00:00;Ставропольский край;370;;2803573;0;1
2020-04-13 00:00:00;Тамбовская;420;;1006748;;3
2020-04-13 00:00:00;Татарстан;3050;;3902888;0;1
2020-04-13 00:00:00;Тверская;606;;1260379;1;0
2020-04-13 00:00:00;Томская;55;;1079271;1;0
2020-04-13 00:00:00;Тульская;1048;;1466127;;2
2020-04-13 00:00:00;Тыва;797;;327383;1;0
2020-04-13 00:00:00;Тюменская;1470;;1537416;1;0
2020-04-13 00:00:00;Удмуртия;807;;1500955;1;0
2020-04-13 00:00:00;Ульяновская;133;;1229824;0;1
2020-04-13 00:00:00;Хабаровский край;232;;1315643;1;0
2020-04-13 00:00:00;Хакасия;283;;534262;1;0
2020-04-13 00:00:00;ХМАО;360;;1674676;1;0
2020-04-13 00:00:00;Челябинская;101;;3466369;1;0
2020-04-13 00:00:00;Чечня;487;;1478726;0;1
2020-04-13 00:00:00;Чувашия;873;;1217818;;1
2020-04-13 00:00:00;Ямало-Ненецкий АО;646;;544444;1;0
2020-04-13 00:00:00;Ярославская;0;;1253389;1;0
2020-04-20 00:00:00;Адыгея;598;;463088;0;1
