"Страна";"Город";"Дата";"Индекс"
Россия;Губкин;13.04.2020;2.7
Россия;Новокуйбышевск;24.05.2020;2.9
Россия;Пермь;18.06.2020;1.1
Россия;Вологда;29.05.2020;1.3
Россия;Абакан;17.05.2020;2.4
Россия;Октябрьский;08.05.2020;2.2
Россия;Новокузнецк;15.03.2020;3
Россия;Новошахтинск;21.06.2020;2.6
Россия;Ржев;18.09.2020;1.6
Россия;Дубна;10.04.2020;2.7
Россия;Выкса;14.05.2020;2.1
Россия;Михайловка;01.06.2020;1.6
Россия;Азов;14.05.2020;1.9
Россия;Артём;17.04.2020;1.8
Россия;Новоалтайск;03.08.2020;1.8
Россия;Орск;19.09.2020;2.3
Россия;Ессентуки;27.06.2020;1.9
Россия;Сочи;12.03.2020;0.8
Россия;Тюмень;21.09.2020;1.1
Россия;Тобольск;15.07.2020;1.5
Россия;Домодедово;03.07.2020;1
Россия;Павлово;07.03.2020;2.1
Россия;Нягань;10.09.2020;1.4
Россия;Александров;05.05.2020;2.6
Россия;Ивантеевка;13.07.2020;1.7
Россия;Чапаевск;10.09.2020;1.6
Россия;Старый Оскол;23.04.2020;2.4
Россия;Майкоп;09.07.2020;1.2
Россия;Березники;27.03.2020;1.7
Россия;Чебоксары;12.04.2020;4
Россия;Благовещенск;03.08.2020;1
Россия;Троицк;28.04.2020;2.6
Россия;Верхняя Пышма;14.09.2020;1.1
Россия;Обнинск;20.09.2020;2.2
Россия;Сыктывкар;14.07.2020;1.1
Россия;Ангарск;03.07.2020;1.2
Россия;Московский;07.05.2020;3.4
Россия;Краснодар;06.03.2020;0.3
Россия;Петрозаводск;11.09.2020;1.2
Россия;Нижний Тагил;20.05.2020;2
Россия;Новороссийск;20.07.2020;1.2
Россия;Новочеркасск;21.09.2020;1.3
Россия;Черногорск;29.09.2020;1.6
Россия;Шали;04.07.2020;2.2
Россия;Туймазы;31.07.2020;2.1
Россия;Батайск;06.07.2020;1.7
Россия;Омск;01.03.2020;2.8
Россия;Ленинск-Кузнецкий;27.06.2020;2
Россия;Хабаровск;23.04.2020;2.2
Россия;Магадан;16.04.2020;1.8
Россия;Кинешма;07.05.2020;2.3
Россия;Курган;15.03.2020;3.1
Россия;Череповец;16.09.2020;1.1
Россия;Россошь;04.09.2020;1.3
Россия;Ногинск;17.03.2020;0.8
Россия;Североморск;28.03.2020;4
Россия;Саров;08.08.2020;2.8
Россия;Саранск;23.05.2020;2.7
Россия;Борисоглебск;18.04.2020;3.3
Россия;Лабинск;20.04.2020;2.9
Россия;Междуреченск;19.04.2020;3.1
Россия;Ярославль;20.08.2020;0.9
Россия;Гуково;15.03.2020;3.2
Россия;Железногорск;16.09.2020;1.4
Россия;Берёзовский;29.02.2020;2.3
Россия;Донской;26.06.2020;1.7
Россия;Рубцовск;20.05.2020;2
Россия;Йошкар-Ола;18.08.2020;0.9
Россия;Чита;23.04.2020;2.2
